ID,N1,N2,Key,Err
0,Node0,Node1,0,1
1,Node0,Node1,0,1
0,Node0,Node1,0,1
2,Node0,Node1,0,1
1,Node0,Node1,0,1
2,Node0,Node1,0,1
3,Node0,Node1,0,1
4,Node0,Node1,0,1
3,Node0,Node1,0,1
4,Node0,Node1,0,1
5,Node0,Node1,0,1
5,Node0,Node1,0,1
6,Node0,Node1,0,1
6,Node0,Node1,0,1
7,Node0,Node1,0,1
8,Node0,Node1,0,1
7,Node0,Node1,0,1
8,Node0,Node1,0,1
9,Node0,Node1,0,1
10,Node0,Node1,0,1
10,Node0,Node1,0,1
11,Node0,Node1,0,1
11,Node0,Node1,1,1
12,Node0,Node1,0,1
12,Node0,Node1,0,1
13,Node0,Node1,0,1
13,Node0,Node1,0,1
14,Node0,Node1,0,1
14,Node0,Node1,1,1
15,Node0,Node1,0,1
15,Node0,Node1,1,1
16,Node0,Node1,0,1
17,Node0,Node1,0,1
17,Node0,Node1,0,1
18,Node0,Node1,0,1
18,Node0,Node1,0,1
19,Node0,Node1,0,1
19,Node0,Node1,1,1
0,Node0,Node1,0,1
1,Node0,Node1,0,1
0,Node0,Node1,0,1
2,Node0,Node1,0,1
1,Node0,Node1,0,1
2,Node0,Node1,0,1
3,Node0,Node1,0,1
3,Node0,Node1,1,1
4,Node0,Node1,0,1
5,Node0,Node1,0,1
4,Node0,Node1,0,1
6,Node0,Node1,0,1
5,Node0,Node1,1,1
6,Node0,Node1,1,1
7,Node0,Node1,0,1
7,Node0,Node1,1,1
8,Node0,Node1,0,1
8,Node0,Node1,0,1
9,Node0,Node1,0,1
9,Node0,Node1,0,1
10,Node0,Node1,0,1
10,Node0,Node1,0,1
11,Node0,Node1,0,1
11,Node0,Node1,1,1
12,Node0,Node1,0,1
13,Node0,Node1,0,1
12,Node0,Node1,1,1
14,Node0,Node1,0,1
13,Node0,Node1,0,1
15,Node0,Node1,0,1
14,Node0,Node1,0,1
15,Node0,Node1,0,1
16,Node0,Node1,0,1
16,Node0,Node1,1,1
17,Node0,Node1,0,1
17,Node0,Node1,1,1
18,Node0,Node1,0,1
18,Node0,Node1,1,1
19,Node0,Node1,0,1
20,Node0,Node1,0,1
19,Node0,Node1,0,1
20,Node0,Node1,0,1
21,Node0,Node1,0,1
21,Node0,Node1,1,1
22,Node0,Node1,0,1
22,Node0,Node1,0,1
23,Node0,Node1,0,1
24,Node0,Node1,0,1
23,Node0,Node1,1,1
24,Node0,Node1,0,1
25,Node0,Node1,0,1
25,Node0,Node1,0,1
26,Node0,Node1,0,1
26,Node0,Node1,1,1
27,Node0,Node1,0,1
27,Node0,Node1,1,1
28,Node0,Node1,0,1
28,Node0,Node1,0,1
29,Node0,Node1,0,1
29,Node0,Node1,1,1
30,Node0,Node1,0,1
30,Node0,Node1,1,1
31,Node0,Node1,0,1
31,Node0,Node1,0,1
32,Node0,Node1,0,1
32,Node0,Node1,1,1
33,Node0,Node1,0,1
33,Node0,Node1,1,1
34,Node0,Node1,0,1
35,Node0,Node1,0,1
34,Node0,Node1,1,1
35,Node0,Node1,1,1
36,Node0,Node1,0,1
36,Node0,Node1,1,1
37,Node0,Node1,0,1
37,Node0,Node1,0,1
38,Node0,Node1,0,1
38,Node0,Node1,0,1
39,Node0,Node1,0,1
39,Node0,Node1,0,1
40,Node0,Node1,0,1
41,Node0,Node1,0,1
40,Node0,Node1,0,1
41,Node0,Node1,0,1
42,Node0,Node1,0,1
42,Node0,Node1,1,1
43,Node0,Node1,0,1
44,Node0,Node1,0,1
44,Node0,Node1,1,1
45,Node0,Node1,0,1
45,Node0,Node1,0,1
46,Node0,Node1,0,1
46,Node0,Node1,1,1
47,Node0,Node1,0,1
47,Node0,Node1,0,1
48,Node0,Node1,0,1
48,Node0,Node1,0,1
49,Node0,Node1,0,1
49,Node0,Node1,1,1
0,Node0,Node1,0,1
0,Node0,Node1,0,1
1,Node0,Node1,0,1
1,Node0,Node1,0,1
2,Node0,Node1,0,1
2,Node0,Node1,0,1
3,Node0,Node1,0,1
4,Node0,Node1,0,1
3,Node0,Node1,1,1
5,Node0,Node1,0,1
4,Node0,Node1,0,1
5,Node0,Node1,0,1
6,Node0,Node1,0,1
7,Node0,Node1,0,1
6,Node0,Node1,1,1
7,Node0,Node1,0,1
8,Node0,Node1,0,1
9,Node0,Node1,0,1
8,Node0,Node1,0,1
10,Node0,Node1,0,1
9,Node0,Node1,0,1
11,Node0,Node1,0,1
10,Node0,Node1,0,1
11,Node0,Node1,0,1
12,Node0,Node1,0,1
12,Node0,Node1,0,1
13,Node0,Node1,0,1
13,Node0,Node1,0,1
14,Node0,Node1,0,1
15,Node0,Node1,0,1
14,Node0,Node1,1,1
15,Node0,Node1,0,1
16,Node0,Node1,0,1
16,Node0,Node1,0,1
17,Node0,Node1,0,1
17,Node0,Node1,1,1
18,Node0,Node1,0,1
18,Node0,Node1,1,1
19,Node0,Node1,0,1
19,Node0,Node1,1,1
20,Node0,Node1,0,1
21,Node0,Node1,0,1
20,Node0,Node1,0,1
22,Node0,Node1,0,1
21,Node0,Node1,0,1
22,Node0,Node1,0,1
23,Node0,Node1,0,1
24,Node0,Node1,0,1
23,Node0,Node1,1,1
25,Node0,Node1,0,1
24,Node0,Node1,0,1
25,Node0,Node1,0,1
26,Node0,Node1,0,1
26,Node0,Node1,0,1
27,Node0,Node1,0,1
27,Node0,Node1,0,1
28,Node0,Node1,0,1
29,Node0,Node1,0,1
30,Node0,Node1,0,1
29,Node0,Node1,0,1
30,Node0,Node1,0,1
31,Node0,Node1,0,1
31,Node0,Node1,0,1
32,Node0,Node1,0,1
32,Node0,Node1,1,1
33,Node0,Node1,0,1
33,Node0,Node1,1,1
34,Node0,Node1,0,1
34,Node0,Node1,0,1
35,Node0,Node1,0,1
36,Node0,Node1,0,1
36,Node0,Node1,0,1
37,Node0,Node1,0,1
38,Node0,Node1,0,1
37,Node0,Node1,1,1
39,Node0,Node1,0,1
38,Node0,Node1,0,1
40,Node0,Node1,0,1
41,Node0,Node1,0,1
40,Node0,Node1,0,1
41,Node0,Node1,0,1
42,Node0,Node1,0,1
43,Node0,Node1,0,1
44,Node0,Node1,0,1
43,Node0,Node1,0,1
44,Node0,Node1,0,1
45,Node0,Node1,0,1
45,Node0,Node1,0,1
46,Node0,Node1,0,1
47,Node0,Node1,0,1
46,Node0,Node1,0,1
48,Node0,Node1,0,1
47,Node0,Node1,0,1
49,Node0,Node1,0,1
48,Node0,Node1,0,1
49,Node0,Node1,0,1
