Sender,Receiver,Sent qubit,Received qubit,Sent Timestamp,Received Timestamp,Duration,Throughput,Error
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
Node0,Node1,0,0,1587585029.4215171,1587585029.636246,0.21472883224487305,4.657036456378701,0
Node1,Node2,0,0,1587585029.833629,1587585030.047549,0.21392011642456055,4.674642182857321,0
Node2,Node3,1,1,1587585030.244813,1587585030.4591649,0.21435189247131348,4.6652258978018075,0
Node3,Node4,0,0,1587585030.6566021,1587585030.8666828,0.21008062362670898,4.760077263369582,0
Node4,Node5,1,1,1587585031.0617862,1587585031.271543,0.20975685119628906,4.7674247315250105,0
Node5,Node6,1,1,1587585031.4695868,1587585031.681834,0.21224713325500488,4.71148884163513,0
Node6,Node7,1,1,1587585031.8769379,1587585032.0886688,0.21173095703125,4.722974920726434,0
Node7,Node8,0,0,1587585032.295522,1587585032.506222,0.21070003509521484,4.74608368977301,0
Node8,Node9,1,1,1587585032.703729,1587585032.913533,0.20980405807495117,4.7663520390189795,0
Node0,Node1,1,1,1587584903.463572,1587584903.6775901,0.2140181064605713,4.672501857613765,0
Node1,Node2,1,1,1587584903.8767512,1587584904.091203,0.21445178985595703,4.6630527106893345,0
Node2,Node3,1,1,1587584904.290551,1587584904.5032582,0.2127072811126709,4.701296517773177,0
Node3,Node4,0,0,1587584904.701807,1587584904.9155169,0.21370983123779297,4.679241915114842,0
Node4,Node5,0,0,1587584905.115673,1587584905.3270028,0.21132969856262207,4.73194258450937,0
Node5,Node6,0,0,1587584905.5276978,1587584905.7447639,0.21706604957580566,4.606892703645816,0
Node6,Node7,0,0,1587584905.931353,1587584906.1448908,0.21353769302368164,4.6830139721004596,0
Node7,Node8,0,0,1587584906.341584,1587584906.5560682,0.21448421478271484,4.662347767704299,0
Node8,Node9,1,1,1587584906.75027,1587584906.9617631,0.21149325370788574,4.728283207469109,0
