Node,Qubit,Timestamp
Node0,1,1587584903.463572
Node1,1,1587584903.8767512
Node2,1,1587584904.290551
Node3,0,1587584904.701807
Node4,0,1587584905.115673
Node5,0,1587584905.5276978
Node6,0,1587584905.931353
Node7,0,1587584906.341584
Node8,1,1587584906.75027
Node0,0,1587585029.4215171
Node1,0,1587585029.833629
Node2,1,1587585030.244813
Node3,0,1587585030.6566021
Node4,1,1587585031.0617862
Node5,1,1587585031.4695868
Node6,1,1587585031.8769379
Node7,0,1587585032.295522
Node8,1,1587585032.703729
Node0,1,1587585066.4157052
Node1,0,1587585066.8263738
Node2,0,1587585067.2399008
Node3,1,1587585067.652365
Node4,0,1587585068.121374
Node5,0,1587585068.530884
Node6,1,1587585068.939507
Node7,1,1587585069.360831
Node8,0,1587585069.7756538
Node0,1,1587585071.885334
Node1,0,1587585072.303908
Node2,0,1587585072.715314
Node3,1,1587585073.132291
Node4,1,1587585073.542309
Node5,1,1587585073.949877
Node6,1,1587585074.356608
Node7,0,1587585074.765431
Node8,1,1587585075.175576
Node0,1,1587585213.9727428
Node1,1,1587585214.380835
Node2,1,1587585214.7874691
Node3,0,1587585215.194508
Node4,0,1587585215.600929
Node5,1,1587585216.011441
Node6,0,1587585216.423019
Node7,1,1587585216.831987
Node8,1,1587585217.2376168
Node0,1,1587585265.116373
Node1,0,1587585265.530399
Node2,1,1587585265.941795
Node3,0,1587585266.3509948
Node4,1,1587585266.758246
Node5,0,1587585267.170371
Node6,1,1587585267.5864232
Node7,1,1587585267.9933162
Node8,0,1587585268.407587
Node0,0,1587585295.6787589
Node1,0,1587585296.086741
Node2,0,1587585296.494737
Node3,0,1587585296.90595
Node4,0,1587585297.31488
Node5,0,1587585297.717982
Node6,1,1587585298.124894
Node7,1,1587585298.536394
Node8,0,1587585298.948044
