1st node, 2nd node, Step, timestamp
Node0,Node1,1,1589488588.977538
Node0,Node1,2,1589488589.09085
Node1,Node0,3,1589488589.055139
Node1,Node0,4,1589488589.091043
Node1,Node2,1,1589488589.1011488
Node1,Node2,2,1589488589.22342
Node2,Node1,3,1589488589.157331
Node2,Node1,4,1589488589.223511
Node2,Node3,1,1589488589.237143
Node2,Node3,2,1589488589.360509
Node3,Node2,3,1589488589.279189
Node3,Node2,4,1589488589.3609102
Node3,Node4,1,1589488589.373798
Node3,Node4,2,1589488589.49759
Node4,Node3,3,1589488589.417896
Node4,Node3,4,1589488589.497998
Node4,Node5,1,1589488589.514862
Node4,Node5,2,1589488589.63669
Node5,Node4,3,1589488589.601046
Node5,Node4,4,1589488589.636999
Node5,Node6,1,1589488589.650529
Node5,Node6,2,1589488589.6680279
Node6,Node5,3,1589488589.665836
Node6,Node5,4,1589488589.6681442
Node6,Node7,1,1589488589.6781042
Node6,Node7,2,1589488589.797324
Node7,Node6,3,1589488589.716219
Node7,Node6,4,1589488589.797678
Node0,Node1,1,1589488672.757914
Node0,Node1,2,1589488672.767051
Node1,Node0,3,1589488672.759107
Node1,Node0,4,1589488672.7674098
Node1,Node2,1,1589488672.7817621
Node1,Node2,2,1589488672.908023
Node2,Node1,3,1589488672.864201
Node2,Node1,4,1589488672.908469
Node2,Node3,1,1589488672.9215841
Node2,Node3,2,1589488673.041484
Node3,Node2,3,1589488673.0029519
Node3,Node2,4,1589488673.041653
Node3,Node4,1,1589488673.054637
Node3,Node4,2,1589488673.072025
Node4,Node3,3,1589488673.070765
Node4,Node3,4,1589488673.072072
Node4,Node5,1,1589488673.081579
Node4,Node5,2,1589488673.202857
Node5,Node4,3,1589488673.165131
Node5,Node4,4,1589488673.203218
Node5,Node6,1,1589488673.216712
Node5,Node6,2,1589488673.337595
Node6,Node5,3,1589488673.312094
Node6,Node5,4,1589488673.3378298
Node6,Node7,1,1589488673.351138
Node6,Node7,2,1589488673.476767
Node7,Node6,3,1589488673.4179819
Node7,Node6,4,1589488673.4770482
Node0,Node1,1,1589488676.7081568
Node0,Node1,2,1589488676.82111
Node1,Node0,3,1589488676.732598
Node1,Node0,4,1589488676.8212721
Node1,Node2,1,1589488676.837879
Node1,Node2,2,1589488676.960999
Node2,Node1,3,1589488676.9303832
Node2,Node1,4,1589488676.961122
Node2,Node3,1,1589488676.97144
Node2,Node3,2,1589488677.094354
Node3,Node2,3,1589488677.034474
Node3,Node2,4,1589488677.0944052
Node3,Node4,1,1589488677.108361
Node3,Node4,2,1589488677.229043
Node4,Node3,3,1589488677.144681
Node4,Node3,4,1589488677.229221
Node4,Node5,1,1589488677.2433238
Node4,Node5,2,1589488677.3675451
Node5,Node4,3,1589488677.328566
Node5,Node4,4,1589488677.3679419
Node5,Node6,1,1589488677.382839
Node5,Node6,2,1589488677.5025039
Node6,Node5,3,1589488677.455471
Node6,Node5,4,1589488677.502971
Node6,Node7,1,1589488677.5202491
Node6,Node7,2,1589488677.6410758
Node7,Node6,3,1589488677.5683808
Node7,Node6,4,1589488677.641175
Node0,Node1,1,1589488684.475997
Node0,Node1,2,1589488684.587548
Node1,Node0,3,1589488684.50272
Node1,Node0,4,1589488684.587679
Node1,Node2,1,1589488684.601047
Node1,Node2,2,1589488684.618473
Node2,Node1,3,1589488684.607523
Node2,Node1,4,1589488684.618604
Node2,Node3,1,1589488684.628788
Node2,Node3,2,1589488684.74834
Node3,Node2,3,1589488684.731908
Node3,Node2,4,1589488684.748468
Node3,Node4,1,1589488684.7614331
Node3,Node4,2,1589488684.8826292
Node4,Node3,3,1589488684.826895
Node4,Node3,4,1589488684.882747
Node4,Node5,1,1589488684.898108
Node4,Node5,2,1589488685.0256262
Node5,Node4,3,1589488684.940929
Node5,Node4,4,1589488685.02576
Node5,Node6,1,1589488685.032385
Node5,Node6,2,1589488685.056364
Node6,Node5,3,1589488685.0463948
Node6,Node5,4,1589488685.056502
Node6,Node7,1,1589488685.07168
Node6,Node7,2,1589488685.198266
Node7,Node6,3,1589488685.1629388
