# bits,% error
1,0.1
0,0.0
2,0.2
2,0.2
0,0.0
0,0.0
0,0.0
0,0.0
1,0.1
0,0.0
0,0.0
1,0.1
1,0.1
1,0.1
0,0.0
1,0.1
0,0.0
0,0.0
2,0.2
1,0.1
1,0.1
2,0.2
0,0.0
0,0.0
1,0.1
2,0.2
0,0.0
1,0.1
0,0.0
1,0.1
2,0.2
0,0.0
2,0.2
1,0.09090909090909091
4,0.3333333333333333
1,0.07692307692307693
0,0.0
1,0.06666666666666667
0,0.0
4,0.23529411764705882
1,0.05555555555555555
1,0.05263157894736842
2,0.1
10,0.47619047619047616
16,0.5161290322580645
1,0.1
3,0.3
0,0.0
1,0.1
3,0.2727272727272727
0,0.0
3,0.2727272727272727
2,0.18181818181818182
1,0.08333333333333333
0,0.0
1,0.08333333333333333
0,0.0
1,0.07692307692307693
1,0.07692307692307693
2,0.15384615384615385
2,0.15384615384615385
0,0.0
0,0.0
1,0.07142857142857142
1,0.07142857142857142
2,0.18181818181818182
0,0.0
1,0.09090909090909091
1,0.09090909090909091
0,0.0
2,0.16666666666666666
2,0.16666666666666666
1,0.08333333333333333
3,0.23076923076923078
1,0.07692307692307693
0,0.0
2,0.15384615384615385
2,0.14285714285714285
0,0.0
3,0.21428571428571427
0,0.0
1,0.06666666666666667
1,0.06666666666666667
2,0.13333333333333333
0,0.0
2,0.125
1,0.0625
1,0.0625
2,0.125
3,0.17647058823529413
1,0.058823529411764705
5,0.29411764705882354
2,0.11764705882352941
2,0.1111111111111111
0,0.0
3,0.16666666666666666
0,0.0
2,0.10526315789473684
0,0.0
2,0.10526315789473684
0,0.0
4,0.19047619047619047
2,0.09523809523809523
1,0.047619047619047616
1,0.047619047619047616
2,0.09090909090909091
2,0.09090909090909091
0,0.0
3,0.13636363636363635
1,0.043478260869565216
3,0.13043478260869565
3,0.13043478260869565
1,0.043478260869565216
3,0.125
2,0.08333333333333333
0,0.0
3,0.125
0,0.0
4,0.16
6,0.24
1,0.04
3,0.11538461538461539
5,0.19230769230769232
4,0.15384615384615385
0,0.0
1,0.037037037037037035
2,0.07407407407407407
3,0.1111111111111111
2,0.07407407407407407
2,0.07142857142857142
2,0.07142857142857142
4,0.14285714285714285
1,0.03571428571428571
1,0.034482758620689655
3,0.10344827586206896
1,0.034482758620689655
1,0.034482758620689655
3,0.1
6,0.2
4,0.13333333333333333
0,0.0
4,0.12903225806451613
2,0.06451612903225806
4,0.12903225806451613
7,0.22580645161290322
2,0.0625
3,0.09375
1,0.03125
2,0.0625
1,0.030303030303030304
1,0.030303030303030304
5,0.15151515151515152
0,0.0
2,0.058823529411764705
5,0.14705882352941177
1,0.029411764705882353
4,0.11764705882352941
2,0.05714285714285714
4,0.11428571428571428
1,0.02857142857142857
3,0.08571428571428572
3,0.08333333333333333
2,0.05555555555555555
