EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes
1589386500.931139,1589386501.025193,1.1,1589386501.040215,1589386501.136158,1.1
1589386501.280515,1589386501.3744671,1.1,1589386501.390201,1589386501.484386,1.1
1589386501.618976,1589386501.725434,1.0,1589386501.7366972,1589386501.827759,1.0
1589386501.962181,1589386502.0636458,0.1,1589386502.0732129,1589386502.1688802,0.1
1589386502.5303,1589386502.631586,0.1,1589386502.645385,1589386502.737084,0.0
1589386502.8747609,1589386502.974135,1.1,1589386502.99264,1589386503.080436,1.1
1589386503.225078,1589386503.324822,0.0,1589386503.3329878,1589386503.4327419,0.0
1589386503.576245,1589386503.66783,0.0,1589386503.675235,1589386503.6805172,0.0
1589386504.119433,1589386504.2157922,1.0,1589386504.227665,1589386504.327766,1.0
1589386504.455743,1589386504.5561311,0.1,1589386504.567625,1589386504.665555,0.0
1589386504.796573,1589386504.898085,1.0,1589386504.910251,1589386505.000679,1.0
1589386505.1420422,1589386505.24355,1.0,1589386505.255597,1589386505.349293,1.0
1589386505.6968,1589386505.794292,0.0,1589386505.801541,1589386505.904924,0.0
1589386506.036717,1589386506.036709,0.1,1589386506.043178,1589386506.141053,0.1
1589386506.2886689,1589386506.3886342,0.1,1589386506.3980548,1589386506.497536,1.0
1589386506.633725,1589386506.733546,0.1,1589386506.745301,1589386506.840663,0.1
1589386507.1887271,1589386507.2915268,1.0,1589386507.3030112,1589386507.393218,1.1
1589386507.5326898,1589386507.634736,1.0,1589386507.6464472,1589386507.737411,1.1
1589386507.875732,1589386507.972196,0.0,1589386507.980654,1589386507.981156,0.0
1589386508.383946,1589386508.483983,1.0,1589386508.496156,1589386508.593099,1.0
1589386509.0496068,1589386509.1468852,0.1,1589386509.159801,1589386509.257479,0.1
1589386509.460543,1589386509.5540779,1.0,1589386509.565374,1589386509.5658119,1.0
1589386509.805074,1589386509.893043,0.0,1589386509.9000762,1589386509.911328,0.0
1589386510.168148,1589386510.270853,0.0,1589386510.277453,1589386510.372698,0.0
1589386510.771617,1589386510.872003,1.1,1589386510.889143,1589386510.9793322,1.1
1589386511.1667562,1589386511.2656178,1.0,1589386511.276553,1589386511.374361,1.0
1589386511.572265,1589386511.6662452,1.0,1589386511.676237,1589386511.681016,1.0
1589386511.886935,1589386511.9849741,0.0,1589386511.992001,1589386512.0930738,0.0
1589386512.4521668,1589386512.553495,0.1,1589386512.565164,1589386512.658317,0.1
1589386512.800881,1589386512.8950028,1.0,1589386512.9063091,1589386513.008167,1.0
1589386513.1408901,1589386513.2435288,1.0,1589386513.253813,1589386513.347609,1.0
1589386513.5058649,1589386513.6113439,0.0,1589386513.6184561,1589386513.717215,1.1
1589386514.078273,1589386514.1756291,0.1,1589386514.187574,1589386514.281801,0.1
1589386514.455953,1589386514.557167,1.0,1589386514.568286,1589386514.6623738,1.0
1589386514.805975,1589386514.909747,0.1,1589386514.921161,1589386515.0104792,0.1
