EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes,# vote err,% vote err,transmission delay epr,transmission delay voting
1589386500.931139,1589386501.025193,1.1,1589386501.040215,1589386501.136158,1.1,0,0.0,0.09405398368835449,0.09594297409057617
1589386501.280515,1589386501.3744671,1.1,1589386501.390201,1589386501.484386,1.1,0,0.0,0.09395217895507812,0.09418487548828125
1589386501.618976,1589386501.725434,1.0,1589386501.7366972,1589386501.827759,1.0,0,0.0,0.10645794868469238,0.09106183052062988
1589386501.962181,1589386502.0636458,0.1,1589386502.0732129,1589386502.1688802,0.1,0,0.0,0.10146474838256836,0.09566736221313477
1589386502.5303,1589386502.631586,0.1,1589386502.645385,1589386502.737084,0.0,1,0.5,0.10128617286682129,0.09169888496398926
1589386502.8747609,1589386502.974135,1.1,1589386502.99264,1589386503.080436,1.1,0,0.0,0.09937405586242676,0.08779597282409668
1589386503.225078,1589386503.324822,0.0,1589386503.3329878,1589386503.4327419,0.0,0,0.0,0.09974384307861328,0.09975409507751465
1589386503.576245,1589386503.66783,0.0,1589386503.675235,1589386503.6805172,0.0,0,0.0,0.09158492088317871,0.005282163619995117
1589386504.119433,1589386504.2157922,1.0,1589386504.227665,1589386504.327766,1.0,0,0.0,0.0963592529296875,0.10010099411010742
1589386504.455743,1589386504.5561311,0.1,1589386504.567625,1589386504.665555,0.0,1,0.5,0.1003880500793457,0.0979299545288086
1589386504.796573,1589386504.898085,1.0,1589386504.910251,1589386505.000679,1.0,0,0.0,0.10151219367980957,0.09042811393737793
1589386505.1420422,1589386505.24355,1.0,1589386505.255597,1589386505.349293,1.0,0,0.0,0.10150790214538574,0.09369587898254395
1589386505.6968,1589386505.794292,0.0,1589386505.801541,1589386505.904924,0.0,0,0.0,0.09749197959899902,0.10338282585144043
1589386506.036717,1589386506.036709,0.1,1589386506.043178,1589386506.141053,0.1,0,0.0,-7.867813110351562e-06,0.09787487983703613
1589386506.2886689,1589386506.3886342,0.1,1589386506.3980548,1589386506.497536,1.0,2,1.0,0.09996533393859863,0.09948110580444336
1589386506.633725,1589386506.733546,0.1,1589386506.745301,1589386506.840663,0.1,0,0.0,0.09982109069824219,0.09536194801330566
1589386507.1887271,1589386507.2915268,1.0,1589386507.3030112,1589386507.393218,1.1,1,0.5,0.10279965400695801,0.09020686149597168
1589386507.5326898,1589386507.634736,1.0,1589386507.6464472,1589386507.737411,1.1,1,0.5,0.10204625129699707,0.09096384048461914
1589386507.875732,1589386507.972196,0.0,1589386507.980654,1589386507.981156,0.0,0,0.0,0.09646415710449219,0.0005021095275878906
1589386508.383946,1589386508.483983,1.0,1589386508.496156,1589386508.593099,1.0,0,0.0,0.1000370979309082,0.09694314002990723
1589386509.0496068,1589386509.1468852,0.1,1589386509.159801,1589386509.257479,0.1,0,0.0,0.09727835655212402,0.09767794609069824
1589386509.460543,1589386509.5540779,1.0,1589386509.565374,1589386509.5658119,1.0,0,0.0,0.09353494644165039,0.0004379749298095703
1589386509.805074,1589386509.893043,0.0,1589386509.9000762,1589386509.911328,0.0,0,0.0,0.08796906471252441,0.01125192642211914
1589386510.168148,1589386510.270853,0.0,1589386510.277453,1589386510.372698,0.0,0,0.0,0.10270500183105469,0.0952451229095459
1589386510.771617,1589386510.872003,1.1,1589386510.889143,1589386510.9793322,1.1,0,0.0,0.10038614273071289,0.09018921852111816
1589386511.1667562,1589386511.2656178,1.0,1589386511.276553,1589386511.374361,1.0,0,0.0,0.0988616943359375,0.0978081226348877
1589386511.572265,1589386511.6662452,1.0,1589386511.676237,1589386511.681016,1.0,0,0.0,0.09398031234741211,0.004778861999511719
1589386511.886935,1589386511.9849741,0.0,1589386511.992001,1589386512.0930738,0.0,0,0.0,0.09803915023803711,0.10107278823852539
1589386512.4521668,1589386512.553495,0.1,1589386512.565164,1589386512.658317,0.1,0,0.0,0.10132813453674316,0.09315299987792969
1589386512.800881,1589386512.8950028,1.0,1589386512.9063091,1589386513.008167,1.0,0,0.0,0.09412193298339844,0.10185790061950684
1589386513.1408901,1589386513.2435288,1.0,1589386513.253813,1589386513.347609,1.0,0,0.0,0.10263872146606445,0.0937960147857666
1589386513.5058649,1589386513.6113439,0.0,1589386513.6184561,1589386513.717215,1.1,2,1.0,0.10547900199890137,0.09875893592834473
1589386514.078273,1589386514.1756291,0.1,1589386514.187574,1589386514.281801,0.1,0,0.0,0.09735608100891113,0.09422707557678223
